codigo_procedimento;descricao
0303100010;TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO
0303100028;TRATAMENTO DE ECLAMPSIA
0303100036;TRATAMENTO DE EDEMA, PROTEINURIA E TRANSTORNOS HIPERTENSIVOS NA GRAVIDEZ PARTO E PUERPERIO
0303100044;TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ
0303100052;TRATAMENTO DE MOLA HIDATIFORME
0310010039;PARTO NORMAL
0310010047;PARTO NORMAL EM GESTACAO DE ALTO RISCO
0310010055;PARTO NORMAL EM CENTRO DE PARTO NORMAL (CPN)
0411010018;DESCOLAMENTO MANUAL DE PLACENTA
0411010026;PARTO CESARIANO EM GESTACAO DE ALTO RISCO
0411010034;PARTO CESARIANO
0411010042;PARTO CESARIANO C/ LAQUEADURA TUBARIA
0411010050;REDUCAO MANUAL DE INVERSAO UTERINA AGUDA POS-PARTO
0411010077;SUTURA DE LACERACOES DE TRAJETO PELVICO
0411010085;TRATAMENTO CIRURGICO DE INVERSAO UTERINA AGUDA POS PARTO
0411020013;CURETAGEM POS-ABORTAMENTO / PUERPERAL
0411020021;EMBRIOTOMIA
0411020030;HISTERECTOMIA PUERPERAL
0411020048;TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA
